OBJECTID,Treatment,Temperature,Time,DN,K,AvgTemp,TempDifference
151385,0,29.74,0,45022.07692,302.886359364615,30.05,-0.31
151961,0,23.82,0,43291.74627,296.972054581194,30.05,-6.23
160888,0,31.22,0,45457.42857,304.374400005714,30.05,1.18
161177,0,30.77,0,45325.66667,303.92403518,30.05,0.73
4206,0,35.62,1,46742.83333,308.76793919,36.79,-1.17
4447,1,35.46,1,46697.25,308.612134445,36.79,-1.33
5974,1,32.76,1,45907.25,305.911898645,36.79,-4.03
9111,1,34.99,1,46558.42857,308.137640025714,36.79,-1.8
13206,0,35.72,1,46773.33333,308.8721888,36.79,-1.07
13584,1,35.19,1,46617.5,308.33954735,36.79,-1.6
16939,1,33.75,1,46195.5,306.89714291,36.79,-3.05
17452,1,31.05,1,45406.75,304.201179635,36.79,-5.74
18096,1,37.02,1,47153.6,310.171947872,36.79,0.23
18097,0,37.68,1,47345.5,310.82786591,36.79,0.89
18228,1,33.05,1,45993,306.20499386,36.79,-3.74
18350,1,35.06,1,46580.8,308.214106016,36.79,-1.73
18501,1,34.08,1,46292.5,307.22869085,36.79,-2.71
18779,1,37.32,1,47242,310.47410084,36.79,0.53
22757,0,38.71,1,47648.4,311.863184168,36.79,1.92
24216,1,32.08,1,45709,305.23427618,36.79,-4.71
24293,0,35.69,1,46763.5,308.83857827,36.79,-1.1
24526,0,34.41,1,46390.75,307.564511315,36.79,-2.38
25891,1,30.1,1,45127.5,303.24669755,36.79,-6.7
26056,0,34.82,1,46508.6,307.967324972,36.79,-1.97
26553,1,30.95,1,45378,304.10291156,36.79,-5.84
29438,1,36.26,1,46930,309.4076786,36.79,-0.53
29504,1,35.57,1,46728.5,308.71894757,36.79,-1.22
30474,1,31.69,1,45593.5,304.83949487,36.79,-5.1
31648,0,37.73,1,47359.75,310.876572695,36.79,0.93
33101,1,37.91,1,47414,311.06200028,36.79,1.12
33680,1,33.91,1,46242.53846,307.057921312308,36.79,-2.88
34629,1,36.81,1,47092,309.96139784,36.79,0.02
37098,1,37.27,1,47225.25,310.416849005,36.79,0.47
38984,1,37.45,1,47278.5,310.59885857,36.79,0.66
40613,1,33.37,1,46084.70588,306.5184464,36.79,-3.42
40666,0,36.86,1,47107,310.01266814,36.79,0.07
43140,1,37.57,1,47314,310.72019828,36.79,0.78
43283,1,36.02,1,46861.5,309.17354423,36.79,-0.77
43597,1,34.09,1,46295.5,307.23894491,36.79,-2.7
43705,1,36.27,1,46933,309.41793266,36.79,-0.52
45302,1,30.75,1,45318,303.89783036,36.79,-6.04
45625,1,32.61,1,45863.5,305.76236027,36.79,-4.18
48329,1,34.88,1,46527.25,308.031071045,36.79,-1.91
48567,0,35.13,1,46600,308.279732,36.79,-1.66
48983,0,37.92,1,47415.66667,311.06769698,36.79,1.13
49199,1,39.02,1,47738.2,312.170122364,36.79,2.23
49295,0,30.75,1,45318,303.89783036,36.79,-6.04
50481,0,35.82,1,46802.75,308.972735555,36.79,-0.97
51319,0,36.16,1,46900.5,309.30684701,36.79,-0.64
51407,0,38.93,1,47711.72727,312.079638052727,36.79,2.14
53194,0,31.08,1,45415,304.2293783,36.79,-5.71
53650,1,39.4,1,47849.2,312.549522584,36.79,2.61
54372,1,36.32,1,46948.11111,309.46958274,36.79,-0.47
54410,0,38.55,1,47599.75,311.696897495,36.79,1.75
57958,1,34.3,1,46358.5,307.45428017,36.79,-2.49
58270,1,37.09,1,47174.66667,310.24395416,36.79,0.3
58271,1,30.14,1,45138.75,303.285150275,36.79,-6.66
59263,0,39.15,1,47775.18182,312.296526958182,36.79,2.35
60544,1,34.48,1,46408.8,307.626206576,36.79,-2.32
61642,0,38.68,1,47639,311.83105478,36.79,1.89
62213,1,37.8,1,47381.25,310.950060125,36.79,1.01
63034,1,38.31,1,47530,311.4584906,36.79,1.52
64175,0,36.81,1,47092.66667,309.96367652,36.79,0.02
64230,0,34.74,1,46485.66667,307.88893838,36.79,-2.05
64432,0,39.04,1,47743.14286,312.187017148571,36.79,2.24
66552,1,38.7,1,47643.5,311.84643587,36.79,1.9
67008,1,27.56,1,44385,300.7088177,36.79,-9.23
67509,1,34.02,1,46274.33333,307.16659682,36.79,-2.78
68046,1,37.47,1,47286,310.62449372,36.79,0.68
69622,1,38.2,1,47499,311.35253198,36.79,1.41
70128,0,35.63,1,46747.64286,308.784378238571,36.79,-1.16
70294,1,39.38,1,47844,312.53174888,36.79,2.59
70360,1,39.38,1,47844,312.53174888,36.79,2.59
70612,1,40.36,1,48130.2,313.509986204,36.79,3.57
70743,0,38.14,1,47482,311.29442564,36.79,1.35
71097,0,38.46,1,47575,311.6123015,36.79,1.67
71153,0,37.27,1,47226.5,310.42112153,36.79,0.48
71154,1,36.33,1,46950.875,309.4790297675,36.79,-0.46
71399,1,39.47,1,47869.5,312.61890839,36.79,2.68
72246,0,38.54,1,47598.41667,311.692340135,36.79,1.75
73442,0,37.95,1,47426.5,311.10472553,36.79,1.16
73505,1,33.82,1,46218.11111,306.97442814,36.79,-2.97
73669,0,37.92,1,47415,311.0654183,36.79,1.12
73747,0,38.11,1,47473,311.26366346,36.79,1.32
73776,1,38.02,1,47445.5,311.16966791,36.79,1.23
74795,1,38.94,1,47714,312.08740628,36.79,2.15
75040,1,38.73,1,47652,311.87548904,36.79,1.93
75044,1,33.73,1,46190,306.8783438,36.79,-3.06
75367,1,34.13,1,46308.5,307.28337917,36.79,-2.66
76965,0,40.92,1,48294,314.06985788,36.79,4.13
77012,0,39.25,1,47805.25,312.399300605,36.79,2.46
77236,0,35.65,1,46753,308.80268906,36.79,-1.14
77542,1,39.38,1,47844.14286,312.532237168571,36.79,2.59
77776,0,40.16,1,48070.5,313.30593041,36.79,3.36
77881,1,33.7,1,46183.14286,306.854905948571,36.79,-3.09
78220,0,40.19,1,48079.5,313.33669259,36.79,3.39
78412,1,32.61,1,45863,305.76065126,36.79,-4.18
78521,1,38.6,1,47615.33333,311.75016164,36.79,1.81
78650,0,38.14,1,47481,311.29100762,36.79,1.35
78732,1,39.68,1,47931,312.82911662,36.79,2.89
78745,1,37.85,1,47396.33333,311.00161526,36.79,1.06
79020,0,37.27,1,47227,310.42283054,36.79,0.48
79047,1,39.66,1,47925,312.8086085,36.79,2.87
79226,1,35.46,1,46697,308.61127994,36.79,-1.33
79654,0,35.64,1,46750.33333,308.79357434,36.79,-1.15
79700,0,37.12,1,47183.3,310.273463066,36.79,0.33
79969,0,39.48,1,47871.5,312.62574443,36.79,2.68
80192,0,33.09,1,46003,306.23917406,36.79,-3.7
81127,0,39.04,1,47744,312.18994688,36.79,2.25
81395,0,39.75,1,47951,312.89747702,36.79,2.96
81439,1,35.08,1,46586,308.23187972,36.79,-1.71
82461,0,37.32,1,47241.8,310.473417236,36.79,0.53
82696,1,31.14,1,45433,304.29090266,36.79,-5.65
82928,0,38.69,1,47641,311.83789082,36.79,1.9
84118,1,34.97,1,46552.38889,308.11699627,36.79,-1.83
84858,0,38.91,1,47705,312.0566441,36.79,2.11
84975,0,35.36,1,46667.5,308.51044835,36.79,-1.43
85064,0,39.62,1,47912.85714,312.767103971429,36.79,2.82
85519,0,36.15,1,46897.28571,309.295860517143,36.79,-0.65
85631,0,37.23,1,47215.5,310.38352331,36.79,0.44
85829,0,37.84,1,47394,310.99363988,36.79,1.05
85993,1,38.88,1,47696.6,312.027932732,36.79,2.09
86176,0,38.05,1,47453.5,311.19701207,36.79,1.25
87045,1,34.77,1,46493.5,307.91571287,36.79,-2.03
87191,1,40.61,1,48203,313.75881806,36.79,3.82
87427,0,37.8,1,47381.5,310.95091463,36.79,1.01
87440,0,37.99,1,47436.5,311.13890573,36.79,1.2
88312,0,36.41,1,46974.07143,309.558315624286,36.79,-0.38
88388,0,38.61,1,47617,311.75585834,36.79,1.81
88979,0,38.13,1,47477,311.27733554,36.79,1.34
89519,0,37.91,1,47414,311.06200028,36.79,1.12
90329,0,40.01,1,48028,313.16066456,36.79,3.22
90510,0,37.25,1,47219.5,310.39719539,36.79,0.45
90538,1,38.07,1,47460,311.2192292,36.79,1.28
90647,0,37.88,1,47405.5,311.03294711,36.79,1.09
90999,0,36.88,1,47111,310.02634022,36.79,0.08
91144,0,36.92,1,47125,310.0741925,36.79,0.13
91264,1,36.78,1,47082,309.92721764,36.79,-0.02
91435,1,38.41,1,47561,311.56444922,36.79,1.62
91936,1,38.89,1,47698.75,312.035281475,36.79,2.09
92073,0,38.75,1,47659,311.89941518,36.79,1.96
92137,0,35.98,1,46850,309.134237,36.79,-0.81
93827,1,37.28,1,47229.71429,310.432108022857,36.79,0.49
94058,0,37.46,1,47282,310.61082164,36.79,0.67
94195,1,32.49,1,45827.5,305.63931155,36.79,-4.3
94489,1,37.44,1,47275.83333,310.58974385,36.79,0.65
94705,0,37.62,1,47328,310.76805056,36.79,0.83
95464,1,37.41,1,47266.71429,310.558574762857,36.79,0.62
95603,0,37.07,1,47168.83333,310.22401571,36.79,0.28
95809,1,38.13,1,47477.5,311.27904455,36.79,1.34
95997,0,37.64,1,47334,310.78855868,36.79,0.85
96028,0,39.42,1,47856.33333,312.57390446,36.79,2.63
96170,0,38.17,1,47488.25,311.315788265,36.79,1.37
96206,1,40.17,1,48073.5,313.31618447,36.79,3.37
96272,1,39.01,1,47735.16667,312.15975437,36.79,2.22
96741,1,38.71,1,47648.5,311.86352597,36.79,1.92
96799,1,35.66,1,46755,308.8095251,36.79,-1.13
96821,0,38.28,1,47520.5,311.42601941,36.79,1.48
96926,1,36.1,1,46885,309.2538677,36.79,-0.69
96927,1,35.41,1,46683.18182,308.564049118182,36.79,-1.38
97392,1,35.23,1,46630.25,308.383127105,36.79,-1.56
97451,0,37.24,1,47216,310.38523232,36.79,0.44
97819,1,36.24,1,46924.6,309.389221292,36.79,-0.55
97960,0,38.11,1,47471,311.25682742,36.79,1.31
97981,1,37.35,1,47250.5,310.50315401,36.79,0.56
98077,0,36.11,1,46887.2,309.261387344,36.79,-0.68
98120,1,37,1,47147.55556,310.15128784,36.79,0.21
98161,1,36.65,1,47045.88235,309.8037668,36.79,-0.14
98290,1,37.31,1,47236.83333,310.45644107,36.79,0.51
98333,0,36.41,1,46974.72727,309.560557312727,36.79,-0.38
98637,0,39.33,1,47827.5,312.47535155,36.79,2.53
98863,1,37.2,1,47207,310.35447014,36.79,0.41
99150,0,36.79,1,47087,309.94430774,36.79,0
99423,0,39.1,1,47762,312.25147124,36.79,2.31
99452,0,39.47,1,47869.75,312.619762895,36.79,2.68
99520,0,36.62,1,47036,309.76998872,36.79,-0.17
